,,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
1,19261103,-0.12,0.6,-0.09,0.3,-0.51,-0.22,-0.12,0.5,0.13,1.28
2,19261104,0.65,1.82,1.34,0.61,1.01,0.64,0.82,0.44,0.48,0.4
3,19261105,-0.84,-0.77,-0.22,-0.15,-0.02,-0.02,-0.07,0.36,0.2,0.08
4,19261106,1.03,0.28,0.24,0.4,0.19,0.64,0.1,0.1,0.39,-0.68
5,19261108,-0.06,0.11,1.78,0.28,0.36,0.23,0.3,1.17,0.58,-0.18
6,19261109,1.07,0.94,0.45,-0.3,0.39,0.06,-0.02,-0.15,0.1,0.54
7,19261110,2.05,-1.02,-0.37,-0.41,-1.04,-1.22,-0.58,-0.54,-0.43,-0.66
8,19261111,1.26,0.76,2.38,0.66,0.44,0.81,0.56,0.57,0.45,0.58
9,19261112,-0.57,-0.42,1.46,0.53,0.55,0.45,0.26,0.35,0.18,-0.24
10,19261113,0.16,0,-0.71,-0.28,-0.06,-0.47,-0.12,-0.31,-0.1,-0.33
11,19261115,1.77,-0.07,0.1,0.17,0.5,0.75,-0.01,0.55,0.33,0.33
12,19261116,-0.16,0.82,-0.09,0.93,0.12,-0.22,0.68,-0.14,0,0.43
13,19261117,-2.84,0.12,-0.28,-0.02,-0.28,-0.32,-0.49,-0.51,-0.11,-0.4
14,19261118,-2.11,-0.78,-0.6,-0.8,-0.27,-1.07,-0.2,-0.39,-0.33,-0.41
15,19261119,-0.18,-0.94,-0.61,-0.65,-0.13,-0.98,-0.88,-0.53,-0.35,-0.92
16,19261120,1.89,0.91,-0.08,1.19,0.19,0.68,0.44,0.3,0.56,-0.07
17,19261122,0.05,2.01,0.51,0.88,0.3,0.73,0.48,0.42,0.68,0.81
18,19261123,0.07,-0.04,0.54,0.1,0.66,0.42,0.29,0.24,0.61,0.8
19,19261124,1.55,0.55,-0.01,0.25,0.3,0.06,0.18,0.09,0.19,-0.71
20,19261126,0.02,0.82,0.28,-0.3,0.33,-0.21,0.57,0.05,0.49,0.15
21,19261127,0.21,-0.45,-0.54,-0.91,-0.04,0.15,-0.21,-0.13,-0.16,0.05
22,19261129,-1.76,-0.48,-0.48,-0.64,-0.21,-0.03,-0.19,-0.09,-0.6,-0.73
23,19261130,1.16,0.22,0.01,0.97,0.36,0.32,0.59,-0.06,0.39,0.27
24,19261201,0.87,0.04,0.55,0.79,0.69,0.61,0.08,0.19,0.31,0.61
25,19261202,0.82,0.25,1.57,0.43,0.58,0.81,0.37,0.52,0.46,0.52
26,19261203,1.11,0.92,1.36,0.63,0.25,-0.48,-0.08,0.19,0.16,1.29
27,19261204,0.13,-0.23,-0.44,-0.41,-0.4,-0.11,0.18,-0.14,-0.3,-0.19
28,19261206,-0.84,-0.07,0,-0.28,0.13,0.35,0.03,0.11,0.05,0.01
29,19261207,2.34,-0.53,-0.85,0.02,-0.09,-0.44,-0.33,0.02,0.06,0.4
30,19261208,0.48,0.24,0.14,0.01,-0.25,-0.55,0.27,0.03,-0.01,-0.03
31,19261209,1.11,0.52,0.52,0.36,0.23,0.99,0.32,0.38,0.51,0.33
32,19261210,-0.01,0.16,0.48,0.64,0.75,0.38,0.27,0.26,0.41,0.37
33,19261211,-0.18,0.29,0.74,-0.25,0.42,0.28,0.28,0.06,-0.11,-0.2
34,19261213,1.28,0.47,2.07,0.65,0.17,0.03,0.03,0.32,0.09,1.5
35,19261214,-0.27,0.69,-0.71,-0.31,0.1,-0.04,-0.13,0.21,0.32,0.41
36,19261215,-0.57,0.1,-0.02,0.43,-0.04,0.59,0.28,0.03,0.25,-0.15
37,19261216,-1.17,-1.15,-0.63,-1.18,-0.58,-0.5,-0.35,-0.37,-0.47,-1.1
38,19261217,0.71,0.13,0.97,0.19,0.86,0.54,1.01,1.45,1.3,0.4
39,19261218,0.66,0.63,0.8,0.1,0.33,0.26,0.31,0.53,0.31,0.84
40,19261220,-0.88,-1.03,-0.67,-0.21,0.05,-0.51,-0.15,-0.29,-0.38,-0.43
41,19261221,0.59,-0.47,-0.31,-0.79,-0.12,0.14,0.13,-0.13,-0.16,0.54
42,19261222,2.77,-0.45,0.14,-0.8,0.27,-0.06,-0.33,-0.1,-0.15,0.27
43,19261223,1.29,0.02,-0.18,0.41,0.01,0.26,0.24,0.05,0.7,0.62
44,19261224,-0.55,-0.01,0.49,0.73,0.45,0.06,0.1,-0.19,0.29,1.44
45,19261227,0.41,-0.63,-0.57,0.11,-0.45,-0.29,-0.15,-0.18,-0.31,-0.02
46,19261228,-2.08,-1.75,-1.62,-1.44,-1.13,-1.18,-0.66,-1.2,-0.99,-1.33
47,19261229,2.96,0.11,0.71,0.46,0.21,0.36,0.28,0.57,0.39,0.89
48,19261230,0.3,0.17,-1.02,0.19,-0.62,-0.55,-0.29,-0.08,-0.13,-0.8
49,19261231,1.3,0.24,1.22,0.4,0.46,0.34,0.76,0.16,0.29,-0.47
50,19270103,0.19,-2.42,-0.93,-0.43,-0.35,-0.85,-0.45,-0.91,-1,-1.53
51,19270104,1.76,0.46,0.54,-0.04,0.28,0.25,0.29,0.46,0,1.05
52,19270105,1.08,1.19,0.13,0.29,0.15,0.28,0.08,0.01,-0.04,0.08
53,19270106,-1,0.76,-0.15,-0.74,-0.91,-0.18,-0.09,0.04,-0.05,-0.11
54,19270107,-0.43,0,0.02,0.04,0.1,0.34,0.28,0.54,0.48,0.43
55,19270108,1.23,0.54,0.72,-0.22,0.23,1.09,0.18,0.31,0.23,0.56
56,19270110,0.39,-0.09,0.65,0.27,0.06,-0.24,0.22,0.5,0.33,0.23
57,19270111,-1.12,-0.25,-0.21,-0.31,-0.41,-0.22,-0.22,-0.13,-0.17,-0.73
58,19270112,-2.17,-0.46,-0.17,0.45,-0.14,0.37,0.07,-0.04,0.11,0.16
59,19270113,0.04,-0.39,-0.14,1.1,0.04,-0.26,-0.12,-0.14,-0.05,-0.44
60,19270114,-0.79,-0.77,-0.39,0.14,-0.09,0.18,0,0.13,0.51,-0.41
61,19270115,0.22,-0.28,-0.97,-0.04,0.33,0.1,0.25,0.25,0.3,-0.04
62,19270117,-1.79,-0.66,0.86,0.07,-0.21,0.12,0.15,0.08,-0.16,-0.73
63,19270118,0.29,0.49,-0.55,0.24,-0.19,0,-0.14,-0.08,0.03,-0.15
64,19270119,1.66,0.52,1.48,0.41,0.99,0.39,0.18,0.72,0.58,1.21
65,19270120,-0.4,-0.38,-0.2,-0.2,-0.75,-0.26,-0.16,0.11,-0.15,0.1
66,19270121,0.2,1.91,-0.48,-0.09,-0.26,0.22,0.14,-0.09,-0.15,0.17
67,19270122,-0.09,-0.57,-1.76,-0.56,-0.43,-0.14,-0.11,-0.22,-0.19,-0.77
68,19270124,0.21,-1.01,-0.62,-0.76,-0.26,-0.53,-0.33,-0.32,-0.59,-0.58
69,19270125,-2.62,-0.83,-1.04,-1.15,-1.01,-0.4,-1.18,-1.92,-1.31,-0.53
70,19270126,-0.78,0.37,0.38,-0.04,0.21,0.05,0.09,0.36,0.32,0.67
71,19270127,0.27,0.92,-0.83,-0.13,-0.65,-0.19,-0.4,-0.56,-0.4,-0.02
72,19270128,0.59,0.31,0.04,0.13,-0.08,0.13,0.31,0.22,0.12,0.38
73,19270129,-0.64,0.56,0.92,0.43,0.13,0.51,0.77,1.2,0.87,1.49
74,19270131,-0.93,0.62,0.58,0.38,0.51,0.64,0.31,0.55,0.67,1.14
75,19270201,1.28,0.13,-0.09,0.14,0.14,0.23,-0.2,-0.18,-0.1,-0.07
76,19270202,0.09,0.34,1.42,0.58,0.53,0.63,0.68,0.6,0.77,1.28
77,19270203,-0.14,0.08,-0.46,0.39,0.15,0.21,0.5,0.11,0.19,0.49
78,19270204,0.7,0.03,2.83,0.19,0.45,0.01,0.25,0.16,0.18,-0.12
79,19270205,0.31,-0.06,-0.17,-0.15,-0.01,-0.27,-0.24,0.04,-0.13,-0.33
80,19270207,0.28,1.45,-0.46,-0.8,0.14,-0.05,-0.25,-0.04,0.09,-0.1
81,19270208,0.95,0.98,-0.32,-0.18,0.17,-0.04,0.43,0.09,0.17,-0.08
82,19270209,0.66,0.21,0.18,0.02,-0.11,0.05,-0.18,0.1,0.53,-0.25
83,19270210,0.18,0.09,0.55,0,-0.17,0.11,0.26,0.46,-0.43,0.11
84,19270211,-0.25,0.52,0.53,0.35,-0.04,0.05,0.6,0.97,0.29,0.38
85,19270214,-0.08,0.47,0.69,0.53,0.57,0.44,0.22,0.27,0.48,1.33
86,19270215,-0.62,0.44,-0.31,0.38,0.41,0.5,-0.4,0.01,0.19,-0.22
87,19270216,0.16,0.14,-0.69,-0.16,-0.06,0.25,0.03,0.43,-0.01,-0.55
88,19270217,0.85,0.04,-0.78,0.38,0.02,0.42,0.6,0.54,0.11,0.61
89,19270218,-1.1,-0.41,0,0.04,0.25,0.7,0.54,0.07,0.23,0.18
90,19270219,2.73,0.11,-0.37,-0.13,-0.05,0.24,-0.33,0.35,-0.16,-0.01
91,19270221,-0.06,-0.32,0.05,0.22,0.17,-0.29,-0.6,0.11,-0.46,-0.02
92,19270223,1.43,1.36,0.41,0.99,0.62,0.27,0.66,1.18,0.88,1.59
93,19270224,-0.64,0.58,0.33,-0.07,0.28,0.06,0.12,0.38,-0.1,0.2
94,19270225,1.13,1.03,0.28,0.34,0.12,0.56,-0.07,0.1,-0.14,0.71
95,19270226,-0.2,0.32,0.07,-0.02,0.06,0.04,-0.02,-0.09,0.04,0.6
96,19270228,-0.12,0.71,0.24,0.49,-0.1,0.41,0.24,0.4,0.81,2.42
97,19270301,-0.94,-0.55,-0.72,-1.02,-0.09,-0.21,-0.18,-0.28,-0.6,-0.42
98,19270302,-0.94,-0.83,-1.25,-0.9,-1.13,-0.63,-1.14,-1.16,-1.29,-2.26
99,19270303,0.39,0.47,0.4,0.82,0.7,1.29,0.82,0.88,1.1,2.39
100,19270304,0.41,-0.37,-0.23,-0.46,-0.29,-0.83,-0.35,-0.46,-0.34,-0.47
101,19270305,0.63,-0.57,-0.6,0.2,0.03,-0.27,-0.4,-0.12,-0.6,-0.54
102,19270307,-0.61,-0.54,-0.72,-0.55,-0.63,-0.35,-0.06,-0.2,-0.31,-0.19
103,19270308,-1.08,0.38,-0.1,0.1,0.04,-0.02,0.05,0.22,0.15,0.89
104,19270309,0.42,-0.34,0.86,0.52,0.54,0.05,0.35,0.7,0.83,1.04
105,19270310,-0.05,0.68,0.91,0.2,0.22,0.15,0.9,0.43,1.32,0.37
106,19270311,0.7,0.19,-1.02,0.63,0.14,0.24,0.54,0.26,0.11,-0.01
107,19270312,0.39,0.95,0.03,-0.02,-0.01,0.12,-0.33,-0.24,-0.03,0.1
108,19270314,-0.34,-0.79,-0.45,0.52,0.06,-0.08,0.24,-0.1,0.06,1.77
109,19270315,-0.47,-0.79,-1.1,-0.77,-0.84,-0.5,-1.14,-0.94,-0.76,-0.95
110,19270316,-0.76,0.4,0.27,0.41,0.66,1.88,0.57,0.99,0.75,2.23
111,19270317,0.16,-0.23,0.06,0.68,0.33,0.91,0.66,0.15,0.5,0.02
112,19270318,-0.26,-0.38,-0.55,-0.79,-0.74,-1.21,-0.84,-0.95,-0.54,-0.33
113,19270319,1.67,-0.26,0.05,-0.21,-0.16,0.37,0.09,-0.04,-0.09,0.2
114,19270321,-2,-0.19,0.24,0.1,0.17,0.23,0.35,0.27,0.66,-0.09
115,19270322,-1.42,-0.57,-0.54,-0.77,-0.84,-0.68,-1.2,-0.95,-1.44,-2.43
116,19270323,0.26,0.08,0.09,0.08,0.37,0.19,0.2,0.12,0.74,-0.05
117,19270324,-0.32,0.11,0.63,0.8,0.57,0.4,0.85,0.87,0.8,1.27
118,19270325,-0.95,0.26,0.07,0.33,-0.01,0.31,0.04,-0.05,0.2,0.55
119,19270326,-0.03,0.48,0.96,-0.19,0.03,0.88,0.04,0.12,0.25,0.8
120,19270328,-0.04,0.26,-0.02,0.07,0.54,0.5,0.26,0.56,0.63,1.65
121,19270329,-1.3,-0.5,-0.5,-0.53,-0.43,-0.32,-0.28,-0.17,0.28,0.32
122,19270330,0.56,-1.47,-1.04,-0.55,-0.39,-0.39,-0.46,-0.72,-0.38,-0.84
123,19270331,-1.08,0.66,0.15,0.27,0.45,0.24,0.26,0.11,0.76,0.16
124,19270401,0.13,-0.59,-0.74,-0.01,0.34,-0.05,-0.05,0.26,-0.13,0.04
125,19270402,0.67,-0.69,-0.28,-0.1,0.28,0.05,0.18,-0.33,-0.02,-0.52
126,19270404,-0.15,-0.27,0.25,0.35,0.29,1.02,0.47,0.77,0.44,0.88
127,19270405,-0.61,0.95,0.85,0.41,0.13,0.24,0.84,0.3,0.62,2.11
128,19270406,1.29,-0.1,0.07,0.04,0.05,0.07,-0.03,0.58,0.25,-0.19
129,19270407,-0.78,0.41,0.31,-0.1,0.35,0.75,-0.12,0.11,0.14,-0.06
130,19270408,0.58,-0.22,0.16,0.17,-0.04,-0.09,0.34,0.07,0.54,1.84
